2436814	1379	2	29
2436851	1379	4	7
2436888	1379	5	15
2436925	1379	6	22
2436962	1379	7	30
2436999	1379	9	8
2437036	1379	10	15
2437073	1379	11	23
2437147	1380	2	7
2437184	1380	3	15
2437221	1380	4	22
2437258	1380	5	30
2437295	1380	7	8
2437332	1380	8	15
2437369	1380	9	23
2437406	1380	11	1
2437443	1380	12	8
2437480	1381	1	16
2437517	1381	2	23
2437554	1381	4	1
2437591	1381	5	9
2437628	1381	6	16
2437665	1381	7	24
2437702	1381	9	2
2437739	1381	10	9
2437776	1381	11	17
2437813	1381	12	24
2437850	1382	2	2
2437887	1382	3	10
2437924	1382	4	17
2437961	1382	5	25
2437998	1382	7	3
2438035	1382	8	10
2438072	1382	9	18
2438109	1382	10	25
2438146	1382	12	3
2438183	1383	1	10
2438220	1383	2	17
2438257	1383	3	25
2438294	1383	5	3
2438331	1383	6	10
2438368	1383	7	18
2438405	1383	8	25
2438442	1383	10	3
2438479	1383	11	11
2438516	1383	12	18
2438553	1384	1	26
2438590	1384	3	4
2438627	1384	4	11
2438664	1384	5	19
2438701	1384	6	26
2438738	1384	8	4
2438775	1384	9	12
2438812	1384	10	19
2438849	1384	11	27
2438886	1385	1	5
2438923	1385	2	12
2438960	1385	3	20
2438997	1385	4	27
2439034	1385	6	5
2439071	1385	7	13
2439108	1385	8	20
2439145	1385	9	28
2439182	1385	11	6
2439219	1385	12	13
2439256	1386	1	20
2439293	1386	2	27
2439330	1386	4	5
2439367	1386	5	13
2439404	1386	6	20
2439441	1386	7	28
2439478	1386	9	6
2439515	1386	10	13
2439552	1386	11	21
2439589	1386	12	28
2439626	1387	2	6
2439663	1387	3	14
2439700	1387	4	21
2439737	1387	5	29
2439774	1387	7	7
2439811	1387	8	14
2439848	1387	9	22
2439885	1387	10	29
2439922	1387	12	7
2439959	1388	1	15
2439996	1388	2	22
2440033	1388	3	30
2440070	1388	5	8
2440107	1388	6	15
2440144	1388	7	23
2440181	1388	9	1
2440218	1388	10	8
2440255	1388	11	16
2440292	1388	12	23
2440329	1389	1	30
2440366	1389	3	8
2440403	1389	4	15
2440440	1389	5	23
2440477	1389	7	1
2440514	1389	8	8
2440551	1389	9	16
2440588	1389	10	23
2440625	1389	12	1
2440662	1390	1	9
2440699	1390	2	16
2440736	1390	3	24
2440773	1390	5	2
2440810	1390	6	9
2440847	1390	7	17
2440884	1390	8	24
2440921	1390	10	2
2440958	1390	11	10
2440995	1390	12	17
2441032	1391	1	24
2441069	1391	3	2
2441106	1391	4	9
2441143	1391	5	17
2441180	1391	6	24
2441217	1391	8	2
2441254	1391	9	10
2441291	1391	10	17
2441328	1391	11	25
2441365	1392	1	3
2441402	1392	2	10
2441439	1392	3	18
2441476	1392	4	25
2441513	1392	6	3
2441550	1392	7	11
2441587	1392	8	18
2441624	1392	9	26
2441661	1392	11	4
2441698	1392	12	11
2441735	1393	1	19
2441772	1393	2	26
2441809	1393	4	4
2441846	1393	5	12
2441883	1393	6	19
2441920	1393	7	27
2441957	1393	9	5
2441994	1393	10	12
2442031	1393	11	20
2442068	1393	12	27
2442105	1394	2	4
2442142	1394	3	12
2442179	1394	4	19
2442216	1394	5	27
2442253	1394	7	5
2442290	1394	8	12
2442327	1394	9	20
2442364	1394	10	27
2442401	1394	12	5
2442438	1395	1	13
2442475	1395	2	20
2442512	1395	3	28
2442549	1395	5	6
2442586	1395	6	13
2442623	1395	7	21
2442660	1395	8	28
2442697	1395	10	6
2442734	1395	11	14
2442771	1395	12	21
2442808	1396	1	29
2442845	1396	3	7
2442882	1396	4	14
2442919	1396	5	22
2442956	1396	6	29
2442993	1396	8	7
2443030	1396	9	15
2443067	1396	10	22
2443104	1396	11	30
2443141	1397	1	7
2443178	1397	2	14
2443215	1397	3	22
2443252	1397	4	29
2443289	1397	6	7
2443326	1397	7	15
2443363	1397	8	22
2443400	1397	9	30
2443437	1397	11	8
2443474	1397	12	15
2443511	1398	1	23
2443548	1398	3	1
2443585	1398	4	8
2443622	1398	5	16
2443659	1398	6	23
2443696	1398	8	1
2443733	1398	9	9
2443770	1398	10	16
2443807	1398	11	24
2443844	1399	1	2
2443881	1399	2	9
2443918	1399	3	17
2443955	1399	4	24
2443992	1399	6	2
2444029	1399	7	10
2444066	1399	8	17
2444103	1399	9	25
2444140	1399	11	3
2444177	1399	12	10
2444214	1400	1	17
2444251	1400	2	24
2444288	1400	4	2
2444325	1400	5	10
2444362	1400	6	17
2444399	1400	7	25
2444436	1400	9	3
2444473	1400	10	10
2444510	1400	11	18
2444547	1400	12	25
2444584	1401	2	3
2444621	1401	3	11
2444658	1401	4	18
